order_id,date,category,product,region,salesperson,quantity,unit_price,discount_pct,payment_method,customer_age,rating,revenue
10001,2022-01-01 00:00:00,Toys,Product_139,Central,Agent_15,23,422.62,11.9,Credit Card,69.0,1.0,8563.55
10002,2022-01-01 08:00:00,Books,Product_400,Central,Agent_03,15,101.5,0.8,PayPal,39.0,1.2,1510.32
10003,2022-01-01 16:00:00,Sports,Product_323,North,Agent_10,13,414.3,10.1,Cash,64.0,1.8,4841.92
10004,2022-01-02 00:00:00,Toys,Product_417,South,Agent_11,23,283.51,29.3,Cash,54.0,1.7,4610.16
10005,2022-01-02 08:00:00,Food,Product_448,,Agent_11,17,382.28,26.2,Credit Card,73.0,2.0,4796.08
10006,2022-01-02 16:00:00,Sports,Product_214,North,Agent_01,48,358.24,9.9,Cash,47.0,2.2,15493.16
10007,2022-01-03 00:00:00,Sports,Product_797,North,Agent_04,2,107.72,17.6,PayPal,63.0,2.4,177.52
10008,2022-01-03 08:00:00,Toys,Product_422,Central,Agent_15,20,286.56,25.4,Credit Card,29.0,2.7,4275.48
10009,2022-01-03 16:00:00,Clothing,Product_667,North,Agent_04,20,434.52,13.2,Bank Transfer,46.0,1.4,7543.27
10010,2022-01-04 00:00:00,Food,Product_139,North,Agent_01,46,218.9,0.5,Credit Card,38.0,1.2,10019.05
10011,2022-01-04 08:00:00,Toys,Product_965,North,Agent_09,3,483.46,2.2,Credit Card,28.0,3.7,1418.47
10012,2022-01-04 16:00:00,Food,Product_139,Central,Agent_03,12,228.85,15.3,Bank Transfer,54.0,3.1,2326.03
10013,2022-01-05 00:00:00,Food,Product_958,East,Agent_05,40,75.68,29.1,PayPal,65.0,2.8,2146.28
10014,2022-01-05 08:00:00,Sports,Product_848,East,Agent_06,2,197.77,20.8,Debit Card,35.0,3.5,313.27
10015,2022-01-05 16:00:00,Books,Product_388,North,Agent_08,36,476.09,2.1,Debit Card,61.0,4.3,16779.32
10016,2022-01-06 00:00:00,Food,Product_361,Central,Agent_06,14,163.26,5.7,Bank Transfer,44.0,2.7,2155.36
10017,2022-01-06 08:00:00,Home,Product_315,East,Agent_03,16,434.71,23.1,PayPal,54.0,3.6,5348.67
10018,2022-01-06 16:00:00,Sports,Product_246,East,Agent_06,19,441.22,25.2,Cash,65.0,4.8,6270.62
10019,2022-01-07 00:00:00,Clothing,Product_435,East,Agent_01,34,178.34,,Bank Transfer,29.0,4.4,4941.8
10020,2022-01-07 08:00:00,Books,Product_267,Central,Agent_04,44,46.21,19.3,Debit Card,40.0,,1640.82
10021,2022-01-07 16:00:00,Home,Product_191,Central,Agent_06,46,363.66,0.9,PayPal,51.0,3.6,16577.8
10022,2022-01-08 00:00:00,Home,Product_452,North,Agent_07,6,159.2,,Credit Card,55.0,1.7,717.36
10023,2022-01-08 08:00:00,Clothing,Product_670,West,Agent_11,13,392.55,23.6,PayPal,40.0,3.2,3898.81
10024,2022-01-08 16:00:00,Books,Product_670,East,Agent_13,36,224.11,7.8,PayPal,70.0,4.9,7438.66
10025,2022-01-09 00:00:00,Sports,Product_915,West,Agent_11,22,245.21,21.3,Debit Card,42.0,3.1,4245.57
10026,2022-01-09 08:00:00,Electronics,Product_780,Central,Agent_10,18,390.07,6.4,Debit Card,21.0,4.7,6571.9
10027,2022-01-09 16:00:00,Books,Product_880,Central,Agent_03,12,194.27,1.2,Cash,47.0,2.6,2303.27
10028,2022-01-10 00:00:00,Clothing,Product_462,Central,Agent_09,30,224.35,6.0,Cash,47.0,5.0,6326.67
10029,2022-01-10 08:00:00,Home,Product_656,West,Agent_12,40,191.21,5.4,Bank Transfer,30.0,3.3,7235.39
10030,2022-01-10 16:00:00,Sports,Product_444,Central,Agent_12,7,186.83,10.1,Credit Card,59.0,1.2,1175.72
10031,2022-01-11 00:00:00,Books,Product_792,North,Agent_07,32,265.34,12.6,Cash,66.0,3.3,7421.03
10032,2022-01-11 08:00:00,Electronics,Product_269,Central,Agent_14,48,405.36,15.3,Debit Card,31.0,,16480.32
10033,2022-01-11 16:00:00,Electronics,Product_455,South,Agent_01,19,184.08,14.3,PayPal,73.0,1.1,2997.37
10034,2022-01-12 00:00:00,FOOD,Product_290,West,Agent_02,6,264.51,8.1,Bank Transfer,64.0,4.3,1458.51
10035,2022-01-12 08:00:00,Food,Product_766,South,Agent_01,20,337.01,0.9,Cash,25.0,2.1,6679.54
10036,2022-01-12 16:00:00,Toys,Product_521,Central,Agent_11,27,138.37,18.2,PayPal,72.0,4.2,3056.04
10037,2022-01-13 00:00:00,Clothing,Product_799,North,Agent_09,43,142.37,11.9,PayPal,41.0,2.2,5393.4
10038,2022-01-13 08:00:00,Books,Product_106,East,Agent_09,37,467.04,9.0,Cash,35.0,1.8,15725.24
10039,2022-01-13 16:00:00,Books,Product_232,Central,Agent_07,48,363.15,,Credit Card,52.0,4.9,12899.09
10040,2022-01-14 00:00:00,Toys,Product_846,North,Agent_10,7,290.71,22.4,Credit Card,42.0,2.4,1579.14
10041,2022-01-14 08:00:00,Home,Product_656,West,Agent_03,5,325.62,25.7,Bank Transfer,34.0,3.4,1209.68
10042,2022-01-14 16:00:00,Home,Product_925,South,Agent_13,11,19.5,14.8,Credit Card,49.0,3.4,182.75
10043,2022-01-15 00:00:00,Toys,Product_860,South,Agent_15,15,310.96,3.9,Bank Transfer,73.0,3.2,4482.49
10044,2022-01-15 08:00:00,Home,Product_130,South,Agent_05,3,257.21,20.9,Debit Card,41.0,4.7,610.36
10045,2022-01-15 16:00:00,Food,Product_634,West,Agent_15,5,275.15,6.2,Cash,24.0,3.7,1290.45
10046,2022-01-16 00:00:00,Books,Product_525,North,Agent_04,23,182.91,13.2,PayPal,30.0,2.6,3651.62
